Date,Bitcoin_Price
01/01/2022,47686.8125
02/01/2022,47345.21875
03/01/2022,46458.1171875
04/01/2022,45897.57421875
05/01/2022,43569.00390625
06/01/2022,43160.9296875
07/01/2022,41557.90234375
08/01/2022,41733.94140625
09/01/2022,41911.6015625
10/01/2022,41821.26171875
11/01/2022,42735.85546875
12/01/2022,43949.1015625
13/01/2022,42591.5703125
14/01/2022,43099.69921875
15/01/2022,43177.3984375
16/01/2022,43113.87890625
17/01/2022,42250.55078125
18/01/2022,42375.6328125
19/01/2022,41744.328125
20/01/2022,40680.41796875
21/01/2022,36457.31640625
22/01/2022,35030.25
23/01/2022,36276.8046875
24/01/2022,36654.328125
25/01/2022,36954.00390625
26/01/2022,36852.12109375
27/01/2022,37138.234375
28/01/2022,37784.33203125
29/01/2022,38138.1796875
30/01/2022,37917.6015625
31/01/2022,38483.125
01/02/2022,38743.2734375
02/02/2022,36952.984375
03/02/2022,37154.6015625
04/02/2022,41500.875
05/02/2022,41441.1640625
06/02/2022,42412.43359375
07/02/2022,43840.28515625
08/02/2022,44118.4453125
09/02/2022,44338.796875
10/02/2022,43565.11328125
11/02/2022,42407.9375
12/02/2022,42244.46875
13/02/2022,42197.515625
14/02/2022,42586.91796875
15/02/2022,44575.203125
16/02/2022,43961.859375
17/02/2022,40538.01171875
18/02/2022,40030.9765625
19/02/2022,40122.15625
20/02/2022,38431.37890625
21/02/2022,37075.28125
22/02/2022,38286.02734375
23/02/2022,37296.5703125
24/02/2022,38332.609375
25/02/2022,39214.21875
26/02/2022,39105.1484375
27/02/2022,37709.78515625
28/02/2022,43193.234375
01/03/2022,44354.63671875
02/03/2022,43924.1171875
03/03/2022,42451.7890625
04/03/2022,39137.60546875
05/03/2022,39400.5859375
06/03/2022,38419.984375
07/03/2022,38062.0390625
08/03/2022,38737.26953125
09/03/2022,41982.92578125
10/03/2022,39437.4609375
11/03/2022,38794.97265625
12/03/2022,38904.01171875
13/03/2022,37849.6640625
14/03/2022,39666.75390625
15/03/2022,39338.78515625
16/03/2022,41143.9296875
17/03/2022,40951.37890625
18/03/2022,41801.15625
19/03/2022,42190.65234375
20/03/2022,41247.82421875
21/03/2022,41077.99609375
22/03/2022,42358.80859375
23/03/2022,42892.95703125
24/03/2022,43960.93359375
25/03/2022,44348.73046875
26/03/2022,44500.828125
27/03/2022,46820.4921875
28/03/2022,47128.00390625
29/03/2022,47465.73046875
30/03/2022,47062.6640625
31/03/2022,45538.67578125
01/04/2022,46281.64453125
02/04/2022,45868.94921875
03/04/2022,46453.56640625
04/04/2022,46622.67578125
05/04/2022,45555.9921875
06/04/2022,43206.73828125
07/04/2022,43503.84765625
08/04/2022,42287.6640625
09/04/2022,42782.13671875
10/04/2022,42207.671875
11/04/2022,39521.90234375
12/04/2022,40127.18359375
13/04/2022,41166.73046875
14/04/2022,39935.515625
15/04/2022,40553.46484375
16/04/2022,40424.484375
17/04/2022,39716.953125
18/04/2022,40826.21484375
19/04/2022,41502.75
20/04/2022,41374.37890625
21/04/2022,40527.36328125
22/04/2022,39740.3203125
23/04/2022,39486.73046875
24/04/2022,39469.29296875
25/04/2022,40458.30859375
26/04/2022,38117.4609375
